seed,dimension,LS_ONLY_SECANT_Time,LS_ONLY_SECANT_Primal,LS_ONLY_SECANT_DualGap,LS_ONLY_SECANT_SmallestDualGap,LS_ONLY_SECANT_Iterations,LS_ONLY_SECANT_LineSearchIter,LS_SECANT_WITH_BACKTRACKING_Time,LS_SECANT_WITH_BACKTRACKING_Primal,LS_SECANT_WITH_BACKTRACKING_DualGap,LS_SECANT_WITH_BACKTRACKING_SmallestDualGap,LS_SECANT_WITH_BACKTRACKING_Iterations,LS_SECANT_WITH_BACKTRACKING_LineSearchIter,LS_ADAPTIVE_Time,LS_ADAPTIVE_Primal,LS_ADAPTIVE_DualGap,LS_ADAPTIVE_SmallestDualGap,LS_ADAPTIVE_Iterations,LS_ADAPTIVE_LineSearchIter,LS_BACKTRACKING_AND_SECANT_Time,LS_BACKTRACKING_AND_SECANT_Primal,LS_BACKTRACKING_AND_SECANT_DualGap,LS_BACKTRACKING_AND_SECANT_SmallestDualGap,LS_BACKTRACKING_AND_SECANT_Iterations,LS_ADAPTIVE_AND_SECANT_Time,LS_ADAPTIVE_AND_SECANT_Primal,LS_ADAPTIVE_AND_SECANT_DualGap,LS_ADAPTIVE_AND_SECANT_SmallestDualGap,LS_ADAPTIVE_AND_SECANT_Iterations,LS_ADAPTIVE_ZERO_AND_SECANT_Time,LS_ADAPTIVE_ZERO_AND_SECANT_Primal,LS_ADAPTIVE_ZERO_AND_SECANT_DualGap,LS_ADAPTIVE_ZERO_AND_SECANT_SmallestDualGap,LS_ADAPTIVE_ZERO_AND_SECANT_Iterations,LS_SECANT_3_Time,LS_SECANT_3_Primal,LS_SECANT_3_DualGap,LS_SECANT_3_SmallestDualGap,LS_SECANT_3_Iterations,LS_SECANT_3_LineSearchIter,LS_SECANT_5_Time,LS_SECANT_5_Primal,LS_SECANT_5_DualGap,LS_SECANT_5_SmallestDualGap,LS_SECANT_5_Iterations,LS_SECANT_5_LineSearchIter,LS_SECANT_7_Time,LS_SECANT_7_Primal,LS_SECANT_7_DualGap,LS_SECANT_7_SmallestDualGap,LS_SECANT_7_Iterations,LS_SECANT_7_LineSearchIter,LS_SECANT_12_Time,LS_SECANT_12_Primal,LS_SECANT_12_DualGap,LS_SECANT_12_SmallestDualGap,LS_SECANT_12_Iterations,LS_SECANT_12_LineSearchIter,LS_MONOTONIC_Time,LS_MONOTONIC_Primal,LS_MONOTONIC_DualGap,LS_MONOTONIC_SmallestDualGap,LS_MONOTONIC_Iterations,LS_AGNOSTIC_Time,LS_AGNOSTIC_Primal,LS_AGNOSTIC_DualGap,LS_AGNOSTIC_SmallestDualGap,LS_AGNOSTIC_Iterations,LS_ADAPTIVE_ZERO_Time,LS_ADAPTIVE_ZERO_Primal,LS_ADAPTIVE_ZERO_DualGap,LS_ADAPTIVE_ZERO_SmallestDualGap,LS_ADAPTIVE_ZERO_Iterations,minimumTime
1,500,2.388936135,10.109248698195264,1.0790227267243324e-8,9.245828280768364e-8,23,0.9565217391304346,2.100890079,10.109248698195264,1.0790227267243324e-8,9.245828280768364e-8,23,0.9565217391304346,2.343848532,10.109248698195284,3.555717453807006e-8,7.724706596601294e-8,31,0.16129032258064516,2.293678564,10.109248698195271,1.1050499210130127e-8,9.038043133346996e-8,23,2.344836274,10.109248698195284,3.555717453807006e-8,7.724706596601294e-8,31,2.406374899,10.109248698195362,7.975480806332591e-8,9.195419464758103e-8,23,2.326003001,10.109248698195264,1.0790227267243324e-8,9.245828280768364e-8,23,0.9565217391304346,2.299473394,10.109248698195264,1.0790227267243324e-8,9.245828280768364e-8,23,0.9565217391304346,2.3353707,10.109248698195264,1.0790227267243324e-8,9.245828280768364e-8,23,0.9565217391304346,2.216636846,10.109248698195264,1.0790227267243324e-8,9.245828280768364e-8,23,0.9565217391304346,2.259125292,10.10924869819528,2.267002782718741e-8,7.68384651739229e-8,34,75.754839926,10.109248698199156,1.3133266521525577e-7,9.953196539180809e-8,223525,2.389628105,10.10924869819544,8.641125465169708e-8,8.374212190354058e-8,20,2.100890079
2,500,0.019500377,10.259851374534424,1.1333987154360514e-7,4.701637554282989e-8,18,0.9444444444444446,0.018018562,10.259851374534424,1.1333987154360514e-7,4.701637554282989e-8,18,0.9444444444444446,0.031419245,10.259851374534307,4.424984834106027e-8,6.269418278970207e-8,25,0.16,0.115939981,10.259851374534325,1.289182757768792e-7,8.849406232802615e-8,18,0.045583659,10.259851374534307,4.424984834106027e-8,6.269418278970207e-8,25,0.026060199,10.259851374534252,5.352399182201317e-8,5.352399182201317e-8,24,0.019023054,10.259851374534424,1.1333987154360514e-7,4.701637554282989e-8,18,0.9444444444444446,0.018499722,10.259851374534424,1.1333987154360514e-7,4.701637554282989e-8,18,0.9444444444444446,0.034684997,10.259851374534424,1.1333987154360514e-7,4.701637554282989e-8,18,0.9444444444444446,0.033958232,10.259851374534424,1.1333987154360514e-7,4.701637554282989e-8,18,0.9444444444444446,0.068729816,10.259851374534286,6.293038370963622e-8,9.531632702564075e-8,32,103.294196387,10.259851374536588,2.2126035409408829e-7,9.999954869721606e-8,308837,0.014256716,10.259851374534257,1.7043718714138123e-8,4.7489159382685386e-8,21,0.018018562
3,500,0.065423736,10.114708815219673,2.916818314657732e-8,6.361300261548131e-8,29,0.9655172413793105,0.043453418,10.114708815219673,2.916818314657732e-8,6.361300261548131e-8,29,0.9655172413793105,0.025227825,10.114708815219766,6.895666634920694e-8,7.661421139171232e-8,29,0.1724137931034483,0.047244706,10.11470881521966,2.7649775025118117e-8,6.808990840601048e-8,29,0.069423027,10.114708815219766,6.895666634920694e-8,7.661421139171232e-8,29,0.032518031,10.114708815219673,2.6672197145360954e-8,2.6672197145360954e-8,30,0.07645674,10.114708815219673,2.916818314657732e-8,6.361300261548131e-8,29,0.9655172413793105,0.058615522,10.114708815219673,2.916818314657732e-8,6.361300261548131e-8,29,0.9655172413793105,0.044723809,10.114708815219673,2.916818314657732e-8,6.361300261548131e-8,29,0.9655172413793105,0.052634182,10.114708815219673,2.916818314657732e-8,6.361300261548131e-8,29,0.9655172413793105,0.049907938,10.114708815220377,1.6412686290601108e-7,8.498110670718262e-8,40,153.553392192,10.114708815221077,1.1037009883807514e-7,9.513117391057868e-8,464414,0.03521583,10.114708815219666,3.440840490309682e-8,5.375769021598309e-8,30,0.025227825
4,500,0.044973378,8.49915812657696,6.185238360378875e-8,7.116933600781472e-8,30,0.9666666666666668,0.059461124,8.49915812657696,6.185238360378875e-8,7.116933600781472e-8,30,0.9666666666666668,0.024672792,8.499158126576967,5.838093711241221e-8,8.48350523996455e-8,32,0.15625,0.046935029,8.499158126576974,7.642035118604618e-8,7.496244694427112e-8,30,0.072187151,8.499158126576967,5.838093711241221e-8,8.48350523996455e-8,32,0.066855157,8.499158126577207,1.154664040770026e-7,9.723830840524528e-8,29,0.043408752,8.49915812657696,6.185238360378875e-8,7.116933600781472e-8,30,0.9666666666666668,0.045457801,8.49915812657696,6.185238360378875e-8,7.116933600781472e-8,30,0.9666666666666668,0.042889781,8.49915812657696,6.185238360378875e-8,7.116933600781472e-8,30,0.9666666666666668,0.041438996,8.49915812657696,6.185238360378875e-8,7.116933600781472e-8,30,0.9666666666666668,0.043419178,8.499158126576987,5.5147062527627355e-8,6.146059122746905e-8,44,84.041790691,8.499158126580676,1.2815328589987907e-7,9.882932469618133e-8,256505,0.034570024,8.499158126576948,2.939764914833276e-8,5.851889611774297e-8,30,0.024672792
5,500,0.038414082,11.056359413531034,3.633107689693382e-8,3.052965472094549e-8,25,0.96,0.0385777,11.056359413531034,3.633107689693382e-8,3.052965472094549e-8,25,0.96,0.039711975,11.056359413531055,6.597204071923102e-8,9.70282835743852e-8,33,0.15151515151515152,0.070061484,11.056359413531027,2.3942131860410498e-8,6.760385859450047e-8,25,0.071814575,11.056359413531055,6.597204071923102e-8,9.70282835743852e-8,33,0.033737012,11.05635941353101,1.2447568614737392e-8,4.3715255970688816e-8,32,0.025333032,11.056359413531034,3.633107689693382e-8,3.052965472094549e-8,25,0.96,0.02252438,11.056359413531034,3.633107689693382e-8,3.052965472094549e-8,25,0.96,0.040172386,11.056359413531034,3.633107689693382e-8,3.052965472094549e-8,25,0.96,0.038695721,11.056359413531034,3.633107689693382e-8,3.052965472094549e-8,25,0.96,0.047673572,11.056359413531064,3.0339110418386994e-8,3.0339110473898145e-8,54,144.490411703,11.056359413532773,1.3783157218338893e-7,9.999921143921675e-8,428255,0.033564864,11.056359413531025,3.11326185664651e-8,5.663986676895938e-8,30,0.02252438
1,1000,13.260945021,14.823685543308782,2.486314754079899e-8,2.486314754079899e-8,13,0.9166666666666665,11.9770662,14.823685543308782,2.486314754079899e-8,2.486314754079899e-8,13,0.9166666666666665,12.123827716,14.823685543308832,4.151488011694404e-8,8.212480662184163e-8,20,0.15,12.78064307,14.823685543308796,7.429042991891066e-9,7.429042991891066e-9,12,18.859845279,14.823685543308832,4.151488011694404e-8,8.212480662184163e-8,20,12.239573203,14.82368554330878,3.996191302868546e-8,3.996191300092988e-8,15,12.912989899,14.823685543308782,2.486314754079899e-8,2.486314754079899e-8,13,0.9166666666666665,12.012988884,14.823685543308782,2.486314754079899e-8,2.486314754079899e-8,13,0.9166666666666665,12.393012169,14.823685543308782,2.486314754079899e-8,2.486314754079899e-8,13,0.9166666666666665,11.360996989,14.823685543308782,2.486314754079899e-8,2.486314754079899e-8,13,0.9166666666666665,8.569113966,14.823685543308834,5.12528777751875e-8,5.5123222791886306e-8,25,3600.0,14.82368554348885,1.7957167254001316e-6,5.227769889759593e-7,21560,7.425160565,14.823685543308777,3.3295757095874734e-8,7.294436957239192e-8,16,11.360996989
2,1000,12.713001996,13.109999816718222,1.0005869552354163e-7,8.644277374458831e-8,18,0.9444444444444446,10.893002947,13.109999816718222,1.0005869552354163e-7,8.644277374458831e-8,18,0.9444444444444446,10.009050445,13.109999816718293,8.879890897595111e-8,9.058977043507888e-8,25,0.16,10.920607102,13.109999816718114,4.74345633050266e-8,5.2237603243021624e-8,17,23.241020253,13.109999816718293,8.879890897595111e-8,9.058977043507888e-8,25,8.849166587,13.109999816718068,5.1824383895393566e-8,5.579818032619421e-8,17,10.420999384,13.109999816718222,1.0005869552354163e-7,8.644277374458831e-8,18,0.9444444444444446,10.952830718,13.109999816718222,1.0005869552354163e-7,8.644277374458831e-8,18,0.9444444444444446,14.740878248,13.109999816718222,1.0005869552354163e-7,8.644277374458831e-8,18,0.9444444444444446,8.700945387,13.109999816718222,1.0005869552354163e-7,8.644277374458831e-8,18,0.9444444444444446,6.140643094,13.109999816718014,4.260129968236548e-8,8.004772858449805e-8,33,3600.0,13.109999816983347,1.6181469694453998e-6,1.6053356184930756e-6,21379,4.504874234,13.109999816718013,2.7583203776604392e-8,5.9477159780607636e-8,18,8.700945387
3,1000,8.780971867,13.295525252841056,1.956441245676288e-7,5.938956559869979e-8,15,0.9333333333333331,10.420895884,13.295525252841056,1.956441245676288e-7,5.938956559869979e-8,15,0.9333333333333331,8.740903028,13.295525252839989,4.440248096981847e-8,4.440248096981847e-8,23,0.13636363636363635,10.672692997,13.295525252840083,3.961312552980267e-8,2.4187255531771257e-8,17,15.973540773,13.295525252839989,4.440248096981847e-8,4.440248096981847e-8,23,11.513120008,13.295525252839981,1.2158365203518429e-8,6.731265378423501e-8,20,8.240886444,13.295525252841056,1.956441245676288e-7,5.938956559869979e-8,15,0.9333333333333331,8.116902397,13.295525252841056,1.956441245676288e-7,5.938956559869979e-8,15,0.9333333333333331,9.301106984,13.295525252841056,1.956441245676288e-7,5.938956559869979e-8,15,0.9333333333333331,7.908906607,13.295525252841056,1.956441245676288e-7,5.938956559869979e-8,15,0.9333333333333331,9.540842144,13.295525252840148,1.1099404145786806e-8,8.86603549465903e-8,45,3600.0,13.295525253137159,2.4663497810717416e-6,4.976745727525156e-6,22371,4.744912252,13.295525252839996,3.536671830395299e-8,6.516650039034566e-8,19,7.908906607
4,1000,10.804993545,13.27623620303162,1.7579275382595405e-7,6.106246527859405e-8,16,0.9375,8.832950027,13.27623620303162,1.7579275382595405e-7,6.106246527859405e-8,16,0.9375,5.276905022,13.276236203031488,3.472650553226764e-8,3.062940481801668e-8,11,0.18181818181818182,10.856598619,13.276236203031617,1.7040053731931515e-7,5.918940620963653e-8,16,7.717081432,13.276236203031488,3.472650553226764e-8,3.062940481801668e-8,11,7.028931509,13.276236203031425,4.9523679351848315e-8,2.4093882278197754e-8,11,8.34486273,13.27623620303162,1.7579275382595405e-7,6.106246527859405e-8,16,0.9375,8.924895642,13.27623620303162,1.7579275382595405e-7,6.106246527859405e-8,16,0.9375,8.477010155,13.27623620303162,1.7579275382595405e-7,6.106246527859405e-8,16,0.9375,7.612958116,13.27623620303162,1.7579275382595405e-7,6.106246527859405e-8,16,0.9375,3.384513424,13.27623620303147,9.082745208721654e-8,5.646933426417533e-8,18,20.696905992,13.27625275232947,0.0015958202724836723,7.193316992060161e-8,118,3.820988605,13.276236203031436,9.236829440206762e-9,8.377225535483035e-8,10,5.276905022
5,1000,14.184953265,14.103953954631367,3.128237879845841e-8,3.128237879845841e-8,19,0.9444444444444446,10.216924497,14.103953954631367,3.128237879845841e-8,3.128237879845841e-8,19,0.9444444444444446,14.061006493,14.103953954631386,5.702014110875453e-8,8.171477511309533e-8,30,0.16666666666666666,12.50860184,14.103953954631367,3.685374361239724e-8,3.685374361239724e-8,19,23.98893417,14.103953954631386,5.702014110875453e-8,8.171477511309533e-8,30,13.457034486,14.103953954631338,4.221246474589435e-8,3.979356635874787e-8,23,10.868909387,14.103953954631367,3.128237879845841e-8,3.128237879845841e-8,19,0.9444444444444446,11.612908006,14.103953954631367,3.128237879845841e-8,3.128237879845841e-8,19,0.9444444444444446,11.241006913,14.103953954631367,3.128237879845841e-8,3.128237879845841e-8,19,0.9444444444444446,13.376948068,14.103953954631367,3.128237879845841e-8,3.128237879845841e-8,19,0.9444444444444446,4.660774508,14.103953954631638,1.1038393649132061e-7,8.770466883301076e-8,28,3600.0,14.103953954960714,2.238528849285437e-6,2.8311431954364252e-6,22257,5.641062002,14.103953954631669,8.976621448941735e-8,5.261757973773484e-8,25,10.216924497
